timestamp,CPU_percent,node_load1,node_load5,node_load15,Memory_GiB_Total,Memory_GiB_Used,Memory_Used_Percent,Disk_GiB_Total,Disk_GiB_Used,Disk_Used_Percent
2026-02-28 13:54:15.070970,27.11,0.837,0.836,0.65,64,19.92,31.12,1024,200.01,19.53
2026-02-28 13:54:45.070970,24.8,0.96,0.832,0.855,64,20.02,31.28,1024,200.04,19.54
2026-02-28 13:55:15.070970,23.04,0.898,0.823,0.737,64,19.83,30.99,1024,200.08,19.54
2026-02-28 13:55:45.070970,20.0,0.596,0.585,0.638,64,19.97,31.2,1024,200.08,19.54
2026-02-28 13:56:15.070970,18.52,0.587,0.732,0.708,64,19.82,30.97,1024,200.1,19.54
2026-02-28 13:56:45.070970,20.51,0.835,0.809,0.643,64,19.86,31.03,1024,200.12,19.54
2026-02-28 13:57:15.070970,18.59,0.862,0.887,1.041,64,19.83,30.98,1024,200.13,19.54
2026-02-28 13:57:45.070970,18.69,0.415,0.411,0.357,64,19.74,30.85,1024,200.17,19.55
2026-02-28 13:58:15.070970,17.54,0.64,0.575,0.463,64,19.79,30.93,1024,200.19,19.55
2026-02-28 13:58:45.070970,16.28,0.731,0.692,0.418,64,19.68,30.74,1024,200.19,19.55
2026-02-28 13:59:15.070970,16.99,0.668,0.583,0.412,64,19.73,30.83,1024,200.21,19.55
2026-02-28 13:59:45.070970,15.13,0.573,0.477,0.466,64,19.71,30.8,1024,200.21,19.55
2026-02-28 14:00:15.070970,15.02,0.781,0.685,0.661,64,19.43,30.36,1024,200.23,19.55
2026-02-28 14:00:45.070970,14.93,0.861,0.766,0.727,64,19.48,30.44,1024,200.25,19.56
2026-02-28 14:01:15.070970,14.24,0.611,0.54,0.524,64,19.56,30.56,1024,200.29,19.56
2026-02-28 14:01:45.070970,13.63,0.687,0.736,0.631,64,19.93,31.14,1024,200.32,19.56
2026-02-28 14:02:15.070970,11.58,0.463,0.496,0.441,64,20.15,31.48,1024,200.32,19.56
2026-02-28 14:02:45.070970,11.06,0.692,0.759,0.797,64,20.21,31.57,1024,200.36,19.57
2026-02-28 14:03:15.070970,10.77,0.697,0.568,0.44,64,20.27,31.68,1024,200.37,19.57
2026-02-28 14:03:45.070970,11.31,0.57,0.485,0.543,64,20.2,31.56,1024,200.39,19.57
2026-02-28 14:04:15.070970,12.08,0.569,0.744,0.582,64,20.32,31.74,1024,200.4,19.57
2026-02-28 14:04:45.070970,10.49,0.474,0.485,0.416,64,20.41,31.89,1024,200.42,19.57
2026-02-28 14:05:15.070970,6.97,0.221,0.397,0.275,64,20.08,31.37,1024,200.42,19.57
2026-02-28 14:05:45.070970,7.29,0.039,0.0,0.0,64,20.04,31.31,1024,200.46,19.58
2026-02-28 14:06:15.070970,9.75,0.0,0.0,0.0,64,19.77,30.9,1024,200.48,19.58
2026-02-28 14:06:45.070970,8.7,0.207,0.232,0.386,64,20.09,31.39,1024,200.5,19.58
2026-02-28 14:07:15.070970,8.75,0.39,0.382,0.284,64,20.26,31.66,1024,200.52,19.58
2026-02-28 14:07:45.070970,9.83,0.626,0.497,0.435,64,20.16,31.49,1024,200.55,19.59
2026-02-28 14:08:15.070970,9.42,0.224,0.289,0.139,64,20.34,31.79,1024,200.57,19.59
2026-02-28 14:08:45.070970,10.03,0.141,0.27,0.25,64,20.37,31.82,1024,200.59,19.59
2026-02-28 14:09:15.070970,8.7,0.268,0.282,0.304,64,20.46,31.97,1024,200.62,19.59
2026-02-28 14:09:45.070970,10.35,0.679,0.659,0.657,64,20.36,31.82,1024,200.64,19.59
2026-02-28 14:10:15.070970,8.75,0.259,0.438,0.458,64,20.57,32.15,1024,200.65,19.6
2026-02-28 14:10:45.070970,7.58,0.105,0.173,0.169,64,20.57,32.15,1024,200.67,19.6
2026-02-28 14:11:15.070970,5.61,0.374,0.358,0.499,64,20.34,31.78,1024,200.69,19.6
2026-02-28 14:11:45.070970,6.17,0.302,0.13,0.153,64,20.42,31.91,1024,200.69,19.6
2026-02-28 14:12:15.070970,8.08,0.924,0.904,0.913,64,19.89,31.07,1024,200.69,19.6
2026-02-28 14:12:45.070970,9.13,0.088,0.085,0.055,64,19.56,30.57,1024,200.7,19.6
2026-02-28 14:13:15.070970,7.49,0.185,0.107,0.188,64,19.85,31.01,1024,200.73,19.6
2026-02-28 14:13:45.070970,10.57,0.15,0.0,0.026,64,19.63,30.67,1024,200.76,19.61
2026-02-28 14:14:15.070970,11.5,0.486,0.447,0.449,64,19.73,30.82,1024,200.79,19.61
2026-02-28 14:14:45.070970,13.91,1.004,1.056,0.792,64,19.85,31.01,1024,200.81,19.61
2026-02-28 14:15:15.070970,15.13,0.725,0.608,0.412,64,19.58,30.6,1024,200.83,19.61
2026-02-28 14:15:45.070970,17.16,0.81,0.737,0.512,64,19.72,30.81,1024,200.84,19.61
2026-02-28 14:16:15.070970,18.16,0.692,0.735,0.67,64,19.67,30.74,1024,200.85,19.61
2026-02-28 14:16:45.070970,21.05,0.581,0.425,0.477,64,19.81,30.95,1024,200.87,19.62
2026-02-28 14:17:15.070970,21.2,1.057,1.024,1.068,64,19.87,31.05,1024,200.9,19.62
2026-02-28 14:17:45.070970,22.28,1.068,0.952,0.967,64,20.17,31.51,1024,200.92,19.62
2026-02-28 14:18:15.070970,23.58,0.839,0.738,0.908,64,20.0,31.25,1024,200.94,19.62
2026-02-28 14:18:45.070970,25.09,1.111,1.078,0.903,64,20.13,31.45,1024,200.97,19.63
2026-02-28 14:19:15.070970,27.32,1.01,0.822,0.779,64,20.02,31.29,1024,200.99,19.63
2026-02-28 14:19:45.070970,24.25,1.625,1.677,1.642,64,19.74,30.84,1024,201.02,19.63
2026-02-28 14:20:15.070970,23.98,0.685,0.681,0.441,64,19.94,31.16,1024,201.05,19.63
2026-02-28 14:20:45.070970,22.92,1.008,0.846,0.827,64,20.06,31.34,1024,201.07,19.64
2026-02-28 14:21:15.070970,20.52,1.126,1.021,0.85,64,19.85,31.01,1024,201.09,19.64
2026-02-28 14:21:45.070970,19.85,0.533,0.656,0.604,64,19.93,31.14,1024,201.1,19.64
2026-02-28 14:22:15.070970,18.75,0.691,0.714,0.879,64,19.81,30.96,1024,201.13,19.64
2026-02-28 14:22:45.070970,17.56,0.832,0.853,0.865,64,20.28,31.69,1024,201.13,19.64
2026-02-28 14:23:15.070970,17.2,0.604,0.616,0.479,64,20.6,32.19,1024,201.16,19.64
2026-02-28 14:23:45.070970,18.29,0.975,0.87,0.81,64,20.99,32.79,1024,201.18,19.65
2026-02-28 14:24:15.070970,17.89,0.5,0.561,0.484,64,21.01,32.83,1024,201.21,19.65
2026-02-28 14:24:45.070970,19.68,0.793,0.843,0.83,64,20.79,32.49,1024,201.24,19.65
2026-02-28 14:25:15.070970,15.19,0.594,0.638,0.613,64,20.99,32.8,1024,201.26,19.65
2026-02-28 14:25:45.070970,15.41,0.481,0.441,0.183,64,20.98,32.78,1024,201.29,19.66
